Product,Description,Category,Brand,Size,Function,Colour,Pallet,Quantity,Location,Staff,To,Customer,Task
TVGL504KSi,"TV GL 50"" 4K Silver",TV,GL,"50""",4K,Silver,8*1*1,7,AM04A,Sarah,Despatch,30027,Pick
SPNa24WaBl,SPen Nalin 24 Watercolour Black,SPen,Nalin,24,Watercolour,Black,48*10*5,1315,CV47E,Emily,Despatch,30025,Pick
GaSEMErWh,Gaming Chair SEWOL M Ergonomic White,Gaming Chair,SEWOL,M,Ergonomic,White,16*1*1,16,AK46G,Laura,Despatch,30063,Pick
SPGi12SoGr,SPen Gib 12 Soluble Grey,SPen,Gib,12,Soluble,Grey,48*10*5,1883,AT62E,Emily,Despatch,30089,Pick
LaYn17i7Gr,"Laptop Ynos 17"" i7 Grey",Laptop,Ynos,"17""",i7,Grey,16*1*1,14,DS03E,Sarah,Despatch,30008,Pick
CaRG18FiBl,Cabinet RGAP 1800 Filing Black,Cabinet,RGAP,1800,Filing,Black,8*1*1,8,AQ36D,Chris,Despatch,30071,Pick
CuWE90SlWh,Cupboard WENO 900 Sliding White,Cupboard,WENO,900,Sliding,White,8*1*1,8,CL67C,Amy,Despatch,30089,Pick
TVGn75FHSi,"TV Gnusmag 75"" FHD Silver",TV,Gnusmag,"75""",FHD,Silver,8*1*1,8,AU06E,Jane,Despatch,30087,Pick
PrNoA2AlBl,Printer Nospe A2 All-in-one Black,Printer,Nospe,A2,All-in-one,Black,16*1*1,12,DX87D,John,Despatch,30048,Pick
KeSu45ErNa,Keyboard Susa 450 Ergonomic Navi,Keyboard,Susa,450,Ergonomic,Navi,16*10*1,160,BV23F,John,Despatch,30067,Pick
KeRe27BlPi,Keyboard Rerar 270 Bluetooth Pink,Keyboard,Rerar,270,Bluetooth,Pink,16*10*1,13,AS48F,Chris,Despatch,30013,Pick
CaTE18FiGr,Cabinet TEWOL 1800 Filing Grey,Cabinet,TEWOL,1800,Filing,Grey,8*1*1,1,BK53G,Amy,Despatch,30057,Pick
CuQE12SlGr,Cupboard QEKI 1200 Sliding Grey,Cupboard,QEKI,1200,Sliding,Grey,8*1*1,8,DS81G,Chris,Despatch,30056,Pick
CaWE12LoBe,Cabinet WENO 1200 Locker Beige,Cabinet,WENO,1200,Locker,Beige,8*1*1,8,CS53F,Chris,Despatch,30014,Pick
PrPHA2AlBl,Printer PH A2 All-in-one Black,Printer,PH,A2,All-in-one,Black,16*1*1,7,AV93F,John,Despatch,30022,Pick
PrPHA3MoBl,Printer PH A3 Mono Black,Printer,PH,A3,Mono,Black,16*1*1,15,DS59A,Chris,Despatch,30080,Pick
SPRe24SoGr,SPen Reldeats 24 Soluble Grey,SPen,Reldeats,24,Soluble,Grey,48*10*5,1476,DR48B,Jane,Despatch,30002,Pick
CaQE18FiBl,Cabinet QEKI 1800 Filing Black,Cabinet,QEKI,1800,Filing,Black,8*1*1,1,DN98H,Jane,Despatch,30071,Pick
TVEs75SFGr,"TV Esnesih 75"" SFHD Grey",TV,Esnesih,"75""",SFHD,Grey,8*1*1,2,CQ76A,Jane,Despatch,30003,Pick
MoHc45WiBl,Mouse Hcetigol 450 Wireled Black,Mouse,Hcetigol,450,Wireled,Black,16*10*1,73,CG83B,Amy,Despatch,30075,Pick
KeSu45ErWh,Keyboard Susa 450 Ergonomic White,Keyboard,Susa,450,Ergonomic,White,16*10*1,160,DR60B,Mike,Despatch,30074,Pick
LaPH14i7Wh,"Laptop PH 14"" i7 White",Laptop,PH,"14""",i7,White,16*1*1,16,BL52D,Emily,Despatch,30019,Pick
MoSu27WiNa,Mouse Susa 270 Wireled Navi,Mouse,Susa,270,Wireled,Navi,16*10*1,160,DX27A,Sarah,Despatch,30056,Pick
LaPH15i7Si,"Laptop PH 15"" i7 Silver",Laptop,PH,"15""",i7,Silver,16*1*1,5,AY71A,Alex,Despatch,30048,Pick
KePH35ErBl,Keyboard PH 350 Ergonomic Black,Keyboard,PH,350,Ergonomic,Black,16*10*1,1,AR31G,John,Despatch,30057,Pick
NoScA5liGr,Notebook Scrap A5 line Grey,Notebook,Scrap,A5,line,Grey,48*10*5,2400,DL35B,Laura,Despatch,30030,Pick
GaOGMErGr,Gaming Chair OGAP M Ergonomic Grey,Gaming Chair,OGAP,M,Ergonomic,Grey,16*1*1,16,DK92F,Laura,Despatch,30078,Pick
PrNoA4LaGr,Printer Nospe A4 Laser Grey,Printer,Nospe,A4,Laser,Grey,16*1*1,16,DJ27F,Laura,Despatch,30002,Pick
CuWE12FiGr,Cupboard WENO 1200 Filing Grey,Cupboard,WENO,1200,Filing,Grey,8*1*1,8,CX09E,Chris,Despatch,30067,Pick
DrRG90SlWh,Drawer RGAP 900 Sliding White,Drawer,RGAP,900,Sliding,White,8*1*1,7,DN03E,Mike,Despatch,30096,Pick
PeGi24SoGr,Pencil Gib 24 Soluble Grey,Pencil,Gib,24,Soluble,Grey,48*10*5,1949,AR83A,Mike,Despatch,30046,Pick
PeRe24HeBl,Pencil Reldeats 24 Hexagonal Black,Pencil,Reldeats,24,Hexagonal,Black,48*10*5,2342,BI08A,Jane,Despatch,30016,Pick
NoScA3doGr,Notebook Scrap A3 dot Grey,Notebook,Scrap,A3,dot,Grey,48*10*5,2400,CN53G,Amy,Despatch,30069,Pick
LaPH1532Gr,"Laptop PH 15"" 32GB RAM Grey",Laptop,PH,"15""",32GB RAM,Grey,16*1*1,5,BW88H,Chris,Despatch,30072,Pick
GaOGMLeWh,Gaming Chair OGAP M Leather White,Gaming Chair,OGAP,M,Leather,White,16*1*1,16,AL81H,Jane,Despatch,30069,Pick
KeSu35WiPi,Keyboard Susa 350 Wireled Pink,Keyboard,Susa,350,Wireled,Pink,16*10*1,30,AL54C,Mike,Despatch,30017,Pick
CaQE12LoGr,Cabinet QEKI 1200 Locker Grey,Cabinet,QEKI,1200,Locker,Grey,8*1*1,6,BS17H,Jane,Despatch,30081,Pick
TaAE15WoBl,Table AEKI 1500 Workstation Black,Table,AEKI,1500,Workstation,Black,8*1*1,8,CU87E,Jane,Despatch,30007,Pick
KeRe45ErBl,Keyboard Rerar 450 Ergonomic Black,Keyboard,Rerar,450,Ergonomic,Black,16*10*1,76,AW01C,Laura,Despatch,30028,Pick
TaTR18FrBl,Table TRAMA 1800 Frame Black,Table,TRAMA,1800,Frame,Black,8*1*1,8,DU42F,Chris,Despatch,30015,Pick
PrNoA4LaGr,Printer Nospe A4 Laser Grey,Printer,Nospe,A4,Laser,Grey,16*1*1,1,DX66E,Emily,Despatch,30029,Pick
LaOv148GGr,"Laptop Ovonel 14"" 8GB RAM Grey",Laptop,Ovonel,"14""",8GB RAM,Grey,16*1*1,10,DR06B,John,Despatch,30062,Pick
CuWE12LoWh,Cupboard WENO 1200 Locker White,Cupboard,WENO,1200,Locker,White,8*1*1,7,AJ76F,Sarah,Despatch,30060,Pick
GaXELHeGr,Gaming Chair XENO L Head pillow Grey,Gaming Chair,XENO,L,Head pillow,Grey,16*1*1,4,DQ69E,John,Despatch,30022,Pick
CaQE12FiBl,Cabinet QEKI 1200 Filing Black,Cabinet,QEKI,1200,Filing,Black,8*1*1,8,CJ53E,Jane,Despatch,30064,Pick
PrSoA4WiBl,Printer Sonac A4 Wifi Black,Printer,Sonac,A4,Wifi,Black,16*1*1,15,CL79A,John,Despatch,30023,Pick
PrPHA4MoBl,Printer PH A4 Mono Black,Printer,PH,A4,Mono,Black,16*1*1,16,DH17E,Laura,Despatch,30042,Pick
GaAEMErBl,Gaming Chair AEKI M Ergonomic Black,Gaming Chair,AEKI,M,Ergonomic,Black,16*1*1,9,DM36H,Jane,Despatch,30096,Pick
TaTR18FrWh,Table TRAMA 1800 Frame White,Table,TRAMA,1800,Frame,White,8*1*1,8,CO47C,Laura,Despatch,30087,Pick
GaOGMAdPi,Gaming Chair OGAP M Adjustable Pink,Gaming Chair,OGAP,M,Adjustable,Pink,16*1*1,15,BP81D,Jane,Despatch,30025,Pick
MoPH27WiPi,Mouse PH 270 Wireled Pink,Mouse,PH,270,Wireled,Pink,16*10*1,116,CN41H,Jane,Despatch,30049,Pick
PrReA4MoGr,Printer Rehtorb A4 Mono Grey,Printer,Rehtorb,A4,Mono,Grey,16*1*1,14,DH58B,Chris,Despatch,30082,Pick
AlOv1532Wh,"All-in-one Ovonel 15"" 32GB RAM White",All-in-one,Ovonel,"15""",32GB RAM,White,16*1*1,13,DT04A,Chris,Despatch,30020,Pick
PrNoA4MoGr,Printer Nospe A4 Mono Grey,Printer,Nospe,A4,Mono,Grey,16*1*1,16,CN91C,Alex,Despatch,30003,Pick
SPRe12WaBl,SPen Reldeats 12 Watercolour Black,SPen,Reldeats,12,Watercolour,Black,48*10*5,2400,AM21D,David,Despatch,30049,Pick
DrQE90LoGr,Drawer QEKI 900 Locker Grey,Drawer,QEKI,900,Locker,Grey,8*1*1,8,CY40F,David,Despatch,30060,Pick
NoGrA4liWh,Notebook Graph A4 line White,Notebook,Graph,A4,line,White,48*10*5,1606,BW84H,Mike,Despatch,30013,Pick
GaOGLErGr,Gaming Chair OGAP L Ergonomic Grey,Gaming Chair,OGAP,L,Ergonomic,Grey,16*1*1,16,CW53F,Chris,Despatch,30020,Pick
LaSu17i7Si,"Laptop Susa 17"" i7 Silver",Laptop,Susa,"17""",i7,Silver,16*1*1,16,CJ69G,Chris,Despatch,30070,Pick
MoRe45BlNa,Mouse Rerar 450 Bluetooth Navi,Mouse,Rerar,450,Bluetooth,Navi,16*10*1,160,CV57B,Sarah,Despatch,30005,Pick
MoHc45WiPi,Mouse Hcetigol 450 Wireled Pink,Mouse,Hcetigol,450,Wireled,Pink,16*10*1,61,DK27G,Jane,Despatch,30085,Pick
CaQE12LoGr,Cabinet QEKI 1200 Locker Grey,Cabinet,QEKI,1200,Locker,Grey,8*1*1,8,BY64B,Amy,Despatch,30067,Pick
TaTR10FrGr,Table TRAMA 1000 Frame Grey,Table,TRAMA,1000,Frame,Grey,8*1*1,5,AG22E,Laura,Despatch,30068,Pick
MoPH45WiNa,Mouse PH 450 Wireled Navi,Mouse,PH,450,Wireled,Navi,16*10*1,160,BO19A,Mike,Despatch,30059,Pick
PeAl50WaPi,Pencil Aloyarc 50 Watercolour Pink,Pencil,Aloyarc,50,Watercolour,Pink,48*10*5,1978,AZ75E,Alex,Despatch,30025,Pick
